☆ 第1页 ☆
武汉大学邱均平教授来我院讲学 ☛ 20140701
华盛顿大学吕青湖博士讲座开讲 ☛ 20140630

☆ 第18页 ☆
第115期“华南经济论坛”之黄炜博士讲座开讲 ☛ 20140630
新加坡国立大学陆毅教授来我院讲学 ☛ 20140627
国际贸易和世界经济专业研究生参观志高空调公司 ☛ 20140627
中山大学张洋教授来我院讲学 ☛ 20140626
2014年度广东省MBA培养院校圆桌会议在我校顺利召开 ☛ 20140624
第十六届华南MBA联盟峰会在我校举行 ☛ 20140624
我院参与华南师范大学2014年校园开放日暨招生咨询活动 ☛ 20140623
江苏师范大学商学院领导访问经管学院 ☛ 20140620
李军教授来我院主讲第四期跨学科论坛 ☛ 20140620
肯塔基大学胡武阳教授来我院讲学 ☛ 20140620
经济与管理学院2014届本科毕业生学士学位授予仪式 ☛ 20140619
董志强教授出席CES广州会议 ☛ 20140617
第114期“华南经济论坛”之黄之骏博士讲座开讲 ☛ 20140613
我院拟获批1项国家社科基金后期资助项目 ☛ 20140613
我院喜获第十届全国大学生“用友新道杯” 企业经营模拟沙盘大赛广东省总决赛二等奖 ☛ 20140611
我院拟获批6项教育部人文社会科学基金项目 ☛ 20140610
［教授观点］刘志铭：加快建立和完善权力清单制度 ☛ 20140610
我院新增两个校级研究生培养基地 ☛ 20140609
我院研究生参加第二届“制度的经济分析”国际研讨会 ☛ 20140605
我院拟获批两项国家社会科学基金项目 ☛ 20140605

☆ 第19页 ☆
我院与中经汇通有限责任公司开展战略合作 ☛ 20140603
创新机制促进协同创新：余荣军、曲琛受聘重点实验室教授 ☛ 20140603
我院研究生党支部开展第二批深入群众路线教育实践活动 ☛ 20140523
院友罗子俊博士受聘我院兼职教授 ☛ 20140523
经济行为科学跨学科研讨会顺利召开 ☛ 20140520
我院学生在2014“挑战杯•创青春”广东大学生创业大赛中再获佳绩 ☛ 20140520
澳大利亚莫纳什大学方涛教授主讲第112期华南经济论坛 ☛ 20140516
彭璧玉教授参加《改革》第三届学术委员会暨改革的顶层设计与地方试验研讨会 ☛ 20140511
重点实验室第一次午餐讨论会顺利举行 ☛ 20140509
我院人力资源管理系第四届系友分享会圆满结束 ☛ 20140508
学院举行张汉兰研究员荣退座谈会 ☛ 20140507
别具一格欢度青年节 ☛ 20140505
我院研究生三篇论文入选中国留英/留欧经济学会2014年国内年会 ☛ 20140430
MBA学生荣获2014“用友新道杯”亚太区ERP沙盘模拟大赛优胜奖 ☛ 20140429
学院党政班子成员、工会、教代会代表赴信息光电子科技学院考察交流 ☛ 20140428
院2010级孔德迎同学获评广东省励志成长成才优秀学生典型 ☛ 20140425
学院党政班子成员、工会、教代会代表赴心理科学学院考察交流 ☛ 20140424
学院党政班子成员、工会、教代会代表赴数学科学学院考察交流 ☛ 20140424
学院党政班子成员、工会、教代会代表赴公共管理学院交流学习 ☛ 20140424
我院学子代表学校首次参加全国大学生公益创业实践赛获得佳绩 ☛ 20140423

☆ 第20页 ☆
重庆师范大学经济与管理学院到我院考察交流 ☛ 20140422
我院研究生勇夺我校研究生羽毛球比赛男单冠军、团体亚军 ☛ 20140422
彭璧玉院长参加“创新强校工程”专题调研 ☛ 20140418
我院团委喜获省级团省委重点工作创新试点项目立项 ☛ 20140418
学院领导赴广东外语外贸大学交流MBA教育工作经验 ☛ 20140416
德国国际管理学院(ISM)来我院洽谈合作培养项目 ☛ 20140415
MBA中心召开“迎评”工作会议 ☛ 20140415
我院客座教授Dr. W.H. Ip举办关于“物联网与无线射频识别”的研讨会 ☛ 20140415
中山大学张光南副教授主讲第110期华南经济论坛 ☛ 20140404
美国密苏里科技大学商务与信息技术系H. Sheng博士来我院讲座 ☛ 20140401
杨清教授出席“中国跨国公司及其发展”国际学术会议 ☛ 20140331
我院召开“创新强校工程”建设专题会议 ☛ 20140331
我院召开辅修、双学位专业招生宣讲会 ☛ 20140325
我院召开与法国雷恩高等商学院合作项目宣讲会 ☛ 20140324
我院关工委荣获校关心下一代工作先进集体三等奖 ☛ 20140324
我院获多项校级本科教学质量与教学改革工程项目立项 ☛ 20140321
董志强教授出席CES北美年会 ☛ 20140320
我院彭璧玉院长、潘文庆书记等一行到中经汇通调研考察合作事宜 ☛ 20140319
