name,comment_id,reply_name,reply_text,source,text
三星android智能手机,回复<a href='http://m.weibo.cn/n/聪明的派大星星'>@聪明的派大星星</a>:SB们在奉旨爱国，主子指谁就咬谁，无脑二哈一群。,4087670466378040,正在的爱国应该是发愤图强，自强不息。而不是天天抵制这个，封杀那个。更不是捧着手机用最肮脏的话，最恶毒的言语骂自己的同胞。,溪边的快乐小树,聪明的派大星星
iPhone 6,回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:你见过闹出来了乐天员工因失业而找不到工作的吗？你要真心疼她们就把她们接到你家里面，而不是抬起你的键盘去帮助他们,4087670462178574,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",大房子Jasmine,羞涩的起哄架秧子星人
乐2,回复<a href='http://m.weibo.cn/n/小鹿不喜欢套路'>@小鹿不喜欢套路</a>:我确实我只能在这里说几句   但是那些连说几句都没有的甚至是对立的那些人呢,4087670441315158,"回复<a href='http://m.weibo.cn/n/忆起呢喃细语'>@忆起呢喃细语</a>:中国呀、大家就靠你舍己为国了。不要光靠个嘴巴爱国、说话谁都会，有本事就干点实事吧。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png"" style=""width:1em;height:1em;;""></span>",忆起呢喃细语,小鹿不喜欢套路
红米2A,回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:没发现  滚  下一个,4087670433450588,你们有没有发现微博的赞变成蓝色了,芝麻汤圆Q_,说个晚安
iPhone 6s,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:这个想法多余，这个倒了，总有人接手,4087670403521629,希望政府能安顿中国员工吧。。,不足08,猫巷里的树语
天生会转 OPPO N3,嗯，知道干不下去了，那就快退出中国市场,4087670370190214,-,丹哥大总攻,-
iPhone 6s Plus,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:出了这个破商场就不会干别的了吗,4087670311006930,闹完之后，下岗的都是中国的员工,Amo佳柠檬,Kevin君格君格Durant
iPhone 6,拜拜！,4087670290404242,-,冯大倩er,-
iPhone 6,小粉红见过乐天员工因失业而闹出找不到工作的局面吗？服务行业可替代性很大，高中不是教过吗？吃屎去了？要真心疼她们就把她们接到你家里面，而不是抬起你们的键盘去帮助他们,4087670278281337,-,大房子Jasmine,-
iPhone 6 Plus,回复<a href='http://m.weibo.cn/n/溫柔極了'>@溫柔極了</a>:现在玩微博的未成年人太多 有些知识面不广别人说什么就信什么 无奈,4087670252613966,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:我不太懂，为什么要政府安顿。这个超市而已，我爸钢铁矿业都倒闭了，比超市人多几十倍吧，政府也没安顿，大家也没骂谁，企业倒闭太正常了。再说了，乐天关闭，政府挨个人安顿，让别国怎么看？本来是用舆论的手法关闭的乐天，政府再出面安顿，不好说吧。严重怀疑别国买水军一边倒舆论。,_LeeChng,溫柔極了
