source,reply_name,reply_text,comment_id,text,name
荣耀7 世界有点不同,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>爷专治您这种垃圾，毫不留情，也不会讲人性，您好自为之吧，有您好受，再送您一程，若您顺手带上您全家，我也没意见，走好。",4088474434700197,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:哦哟  挺有本事<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",风儿向着好花吹
微博 weibo.com,风儿向着好花吹,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>  我也祝你全家安好",4088474343018218,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>爷专治您这种垃圾，毫不留情，也不会讲人性，您好自为之吧，有您好受，再送您一程，若您顺手带上您全家，我也没意见，走好。",TONY3093-李诚涌
荣耀7 世界有点不同,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>垃圾，您这要定性乐天关店与制裁有关啊，用心险恶，自个儿做婊子还要立牌坊，不仅抹黑人，还要黑本土，恶毒嘴脸尽显，想安好。问好。",4088472618721566,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:真可怕键盘屌,风儿向着好花吹
荣耀7 世界有点不同,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/风儿向着好花吹'>@风儿向着好花吹</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>贼喊捉贼的婊子，被揭穿啦，不敢说话啦，真够臭，抹黑本人还不够，还要来定性乐天半店与制裁有关，可见您个烂婊子有多歹毒，垃圾，希您一切安好。问好。",4088472384034320,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>  我也祝你全家安好",风儿向着好花吹
iPhone 7,-,-,4088465425425136,"一群神经病<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",羽田山村
iPhone 6,我爱喝酸奶Tianna,"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:我在楼上的点赞试了一下 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>",4088465140063439,回复<a href='http://m.weibo.cn/n/我爱喝酸奶Tianna'>@我爱喝酸奶Tianna</a>:可爱的娃☺,缘来是我115
iPhone 6,十七kzh,"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:试了一下，发现不是的，所以又点了一下<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>",4088464528472687,回复<a href='http://m.weibo.cn/n/十七kzh'>@十七kzh</a>:😂跟我一样,缘来是我115
iPhone 6,un-cii,"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:你有没有发现赞还可以取消<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span>",4088464431240144,回复<a href='http://m.weibo.cn/n/un-cii'>@un-cii</a>:本来就可以取消的,缘来是我115
iPhone 6,我好可爱哈,回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:点了一下没有变蓝 ，就又点了一下，嗯，还是灰色好看！,4088464342828317,回复<a href='http://m.weibo.cn/n/我好可爱哈'>@我好可爱哈</a>:红色的,缘来是我115
iPhone 6,一脸萌鼻,"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:我特意点了个别人的赞看了看<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",4088464083919637,回复<a href='http://m.weibo.cn/n/一脸萌鼻'>@一脸萌鼻</a>:哈哈我也是,缘来是我115
